outcome,outcome_label,model,interaction,term,estimate,std_error,p_value,n_obs,n_clusters,r_squared,dep_mean_weighted,dep_mean_unweighted
count_fair_always,Count Fair,interaction,Yes,log_total_pop,0.005615818513213206,0.009813072828244038,0.5671327667065638,698,338,0.07008140941812435,0.42049376898105967,0.4828080229226361
ballot_secret_never,Ballot Secret,baseline,No,Intercept,0.226902843342265,0.15295061498814233,0.13794056455047668,715,376,0.03258303543677732,0.32901443221325716,0.35664335664335667
ballot_secret_never,Ballot Secret,baseline,No,treatment_dummy,0.028172837893375945,0.04615745347943244,0.5416208541397762,715,376,0.03258303543677732,0.32901443221325716,0.35664335664335667
ballot_secret_never,Ballot Secret,baseline,No,bolsonaro_approve,-0.049275620621938625,0.057268369095688956,0.3895501514148383,715,376,0.03258303543677732,0.32901443221325716,0.35664335664335667
ballot_secret_never,Ballot Secret,baseline,No,low_ed,-0.022023790737679197,0.05433904083278943,0.6852546058607066,715,376,0.03258303543677732,0.32901443221325716,0.35664335664335667
ballot_secret_never,Ballot Secret,baseline,No,female,-0.10484507307546398,0.05325028752829873,0.0489633203397794,715,376,0.03258303543677732,0.32901443221325716,0.35664335664335667
ballot_secret_never,Ballot Secret,baseline,No,white,0.04939694459628711,0.04993555722760832,0.3225585256624375,715,376,0.03258303543677732,0.32901443221325716,0.35664335664335667
ballot_secret_never,Ballot Secret,baseline,No,age,0.0047790424557597215,0.00219641920573501,0.02956771384962059,715,376,0.03258303543677732,0.32901443221325716,0.35664335664335667
ballot_secret_never,Ballot Secret,baseline,No,urban,0.021409026196677484,0.054723897219920464,0.6956353943250677,715,376,0.03258303543677732,0.32901443221325716,0.35664335664335667
ballot_secret_never,Ballot Secret,baseline,No,log_total_pop,-0.004145345976406257,0.010496993996043223,0.6929108510100037,715,376,0.03258303543677732,0.32901443221325716,0.35664335664335667
ballot_secret_never,Ballot Secret,interaction,Yes,Intercept,0.22510446988011465,0.15258931915798649,0.14015049207752328,715,376,0.03530755824919851,0.32901443221325716,0.35664335664335667
ballot_secret_never,Ballot Secret,interaction,Yes,treatment_dummy,0.05749961220784964,0.05078270114784013,0.25752190546179665,715,376,0.03530755824919851,0.32901443221325716,0.35664335664335667
ballot_secret_never,Ballot Secret,interaction,Yes,bolsonaro_approve,0.00605105714879586,0.06781541279218957,0.9289004379946169,715,376,0.03530755824919851,0.32901443221325716,0.35664335664335667
ballot_secret_never,Ballot Secret,interaction,Yes,treatment_dummy:bolsonaro_approve,-0.11244986723452378,0.10479097136585346,0.28323191989830143,715,376,0.03530755824919851,0.32901443221325716,0.35664335664335667
ballot_secret_never,Ballot Secret,interaction,Yes,low_ed,-0.021280858255995155,0.05440578447477184,0.6956858796729422,715,376,0.03530755824919851,0.32901443221325716,0.35664335664335667
ballot_secret_never,Ballot Secret,interaction,Yes,female,-0.11044344470299851,0.05377042467637985,0.0399775053852527,715,376,0.03530755824919851,0.32901443221325716,0.35664335664335667
ballot_secret_never,Ballot Secret,interaction,Yes,white,0.04850309271871948,0.050065438946458374,0.33264802209337796,715,376,0.03530755824919851,0.32901443221325716,0.35664335664335667
ballot_secret_never,Ballot Secret,interaction,Yes,age,0.004717956110456989,0.00220691633605539,0.03253259759375277,715,376,0.03530755824919851,0.32901443221325716,0.35664335664335667
ballot_secret_never,Ballot Secret,interaction,Yes,urban,0.024466891479019842,0.054844147618244396,0.6555129326939233,715,376,0.03530755824919851,0.32901443221325716,0.35664335664335667
ballot_secret_never,Ballot Secret,interaction,Yes,log_total_pop,-0.004936223974739275,0.010558938218016168,0.6401475872560236,715,376,0.03530755824919851,0.32901443221325716,0.35664335664335667
