"category","outcome","outcome_label","term","estimate","std_error","p_value","ci95_low","ci95_high","n_obs","formula","cluster"
"Married","z_score_pca1_dem","Trust in democracy","factor(working)1",-0.00722382865237099,0.0225661946906522,0.759733717107901,-0.0624413178761724,0.0479936605714304,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(married) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Married","z_score_pca1_dem","Trust in democracy","age",0.00364859931119002,0.00105510976705412,0.0134997838054546,0.00106683871792649,0.00623035990445356,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(married) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Married","z_score_pca1_dem","Trust in democracy","log_gdp_pc",-0.0128278005208576,0.194116542216926,0.949458662506017,-0.487813868174736,0.462158267133021,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(married) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Married","z_score_pca1_dem","Trust in democracy","log_total_pop",0.0922321529310328,0.69807032663805,0.899205245703744,-1.61588440225225,1.80034870811432,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(married) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Married","z_score_pca1_dem","Trust in democracy","factor(treatment_dummy)1:factor(married)1",0.0619049125771228,0.0799961510401592,0.468404748111265,-0.133838617449026,0.257648442603271,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(married) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Low Education","z_score_pca1_dem","Trust in democracy","factor(treatment_dummy)1",0.0756868592348502,0.0687105252804222,0.312880044478684,-0.092441739372211,0.243815457841911,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(low_ed) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Low Education","z_score_pca1_dem","Trust in democracy","factor(low_ed)1",-0.0320578091361304,0.0381094986864494,0.432475114232929,-0.125308393113197,0.0611927748409362,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(low_ed) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Low Education","z_score_pca1_dem","Trust in democracy","factor(female)1",-0.134335613559955,0.0285264488021251,0.0032947500821586,-0.204137319204955,-0.0645339079149548,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(low_ed) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Low Education","z_score_pca1_dem","Trust in democracy","factor(white)1",0.000971903037554186,0.0270985918652628,0.972553102875475,-0.0653359625468979,0.0672797686220063,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(low_ed) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Low Education","z_score_pca1_dem","Trust in democracy","factor(married)1",0.0534332115597053,0.0318004827191684,0.143905955958858,-0.0243797664779588,0.131246189597369,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(low_ed) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Low Education","z_score_pca1_dem","Trust in democracy","factor(working)1",-0.00603627518653425,0.0225314201163453,0.797744569703711,-0.0611686740923457,0.0490961237192772,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(low_ed) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Low Education","z_score_pca1_dem","Trust in democracy","age",0.00368386557628131,0.00092968971959243,0.00743072951975058,0.00140899678352295,0.00595873436903967,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(low_ed) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Low Education","z_score_pca1_dem","Trust in democracy","log_gdp_pc",-0.0171472515853628,0.193418744810412,0.932242313051348,-0.490425870495544,0.456131367324819,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(low_ed) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Low Education","z_score_pca1_dem","Trust in democracy","log_total_pop",0.0914233539621981,0.698323251627533,0.900119184193455,-1.6173120863753,1.8001587942997,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(low_ed) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
"Low Education","z_score_pca1_dem","Trust in democracy","factor(treatment_dummy)1:factor(low_ed)1",0.054166050920176,0.03466760206534,0.169211777199351,-0.0306625154242822,0.138994617264634,10632,"z_score_pca1_dem ~ factor(treatment_dummy) * factor(low_ed) + factor(low_ed) + factor(female) + factor(white) + factor(married) + factor(working) + age + log_gdp_pc + log_total_pop | municipality_id + year","municipality_id + year"
