year,state,municipality_id,pct_vereador_R,pct_vereador_C,pct_vereador_L,pct_vereador_IDK,treated_bvr_2016,treat_bvr2016_x_2016
2012,AC,1200500,0.3823820521280106,0.4510062685582316,0.16661167931375784,0.0,0,0
2016,AC,1200500,0.4417625308134758,0.5249075595727198,0.033329909613804436,0.0,0,0
2012,AC,1200708,0.17690542951822585,0.48954881468264083,0.3335457557991333,0.0,1,0
2016,AC,1200708,0.38118870376934894,0.3555476781283233,0.2632636181023278,0.0,1,1
2012,AC,1200807,0.2852771166269976,0.48600249348294233,0.22872038989006008,0.0,1,0
2016,AC,1200807,0.42185473411154345,0.3701902291396455,0.20795503674881108,0.0,1,1
2012,AM,1300029,0.522740696987596,0.45569994093325455,0.02155936207914944,0.0,0,0
2016,AM,1300029,0.5257608115323011,0.46769887880405764,0.006540309663641218,0.0,0,0
2012,AM,1300060,0.18181818181818182,0.34378721714966254,0.47439460103215564,0.0,0,0
2016,AM,1300060,0.28762861928691075,0.4912658530748983,0.22110552763819097,0.0,0,0
2012,AM,1300086,0.5652173913043478,0.22197846031112883,0.21280414838452333,0.0,0,0
2016,AM,1300086,0.561153705732019,0.41931361810879886,0.019532676159182184,0.0,0,0
2012,AM,1300102,0.4446160325705461,0.46848238101923345,0.08690158641022042,0.0,0,0
2016,AM,1300102,0.6424993408911153,0.33245452148694965,0.025046137621935145,0.0,0,0
2012,AM,1300144,0.5198717948717949,0.2934294871794872,0.18669871794871795,0.0,0,0
2016,AM,1300144,0.5745315161839863,0.35122089721749006,0.07424758659852357,0.0,0,0
2012,AM,1300201,0.5694107261090267,0.31847274332376957,0.1121165305672037,0.0,0,0
2016,AM,1300201,0.4401834862385321,0.4910091743119266,0.06880733944954129,0.0,0,0
2012,AM,1300300,0.5624096991017024,0.3623343174822539,0.07525598341604373,0.0,1,0
2016,AM,1300300,0.7883592623887867,0.1819175903374919,0.029723147273721356,0.0,1,1
2012,AM,1300409,0.3892650701899257,0.4710156895127993,0.13971924029727498,0.0,0,0
2016,AM,1300409,0.38790310137324485,0.5520752970220645,0.06002160160469063,0.0,0,0
2012,AM,1300508,0.47206443408223825,0.333870284018652,0.1940652818991098,0.0,0,0
2016,AM,1300508,0.7200552825552825,0.19387285012285013,0.08607186732186732,0.0,0,0
2012,AM,1300607,0.4953030303030303,0.4009848484848485,0.10371212121212121,0.0,0,0
2016,AM,1300607,0.5985376520431871,0.3333333333333333,0.06812901462347956,0.0,0,0
2012,AM,1300631,0.23612720484099395,0.630745461568173,0.133127333590833,0.0,0,0
2016,AM,1300631,0.5331703522613623,0.45771752416935213,0.009112123569285476,0.0,0,0
2012,AM,1300680,0.32614962251201096,0.530130404941661,0.14371997254632807,0.0,0,0
2016,AM,1300680,0.6816346506790653,0.3121252905909703,0.006240058729964517,0.0,0,0
2012,AM,1300706,0.6044266541087827,0.1658425555293933,0.22973079036182403,0.0,0,0
2016,AM,1300706,0.5759431306306306,0.4192708333333333,0.004786036036036036,0.0,0,0
2012,AM,1300805,0.5291483167873404,0.3879226692543107,0.08292901395834888,0.0,0,0
2016,AM,1300805,0.4582085294537156,0.5280987020396519,0.013692768506632435,0.0,0,0
2012,AM,1300839,0.5028403525954946,0.4015670910871694,0.09559255631733594,0.0,0,0
2016,AM,1300839,0.7060542119785749,0.2694367797435481,0.024509008277876967,0.0,0,0
