municipality_id,year_election,first_regime,bvr_status,event_time,pct_low_ed_with_bvr,pct_high_ed_with_bvr,pct_with_bvr,cost_proxy_low_ed,cost_proxy_high_ed,compliance_gap,dilma_share_2010_runoff,dilma_share_2010_first_round,left_coalition_share_2010_first_round,log_population_2010,log_gdp_per_capita_2010,state,region,pc1_score,pc1_score_z,preference_simple_mean,pt_share_mean_runoff,left_share_dep_fed_mean,left_share_dep_est_mean,pca_merge
4306809,2016,hybrid,hybrid_bvr,0.0,0.1099290780141844,0.1970894492535441,0.15011574074074074,0.8900709219858156,0.8029105507464559,0.0871603712393597,0.5075792730085074,0.48776237623762375,0.5908118811881188,9.928667851066427,9.969577465936652,RS,Sul,-0.4641814386369244,-0.7762730609608646,-0.44776718402516164,0.4278339567144293,0.25419408597905213,0.2357707169733657,both
4306908,2016,hybrid,hybrid_bvr,0.0,0.061098114765377735,0.12858572381587724,0.08076136695550579,0.9389018852346223,0.8714142761841228,0.0674876090504995,0.5195526940020332,0.5235060307017544,0.5997121710526315,10.107815189592698,9.122862001415905,RS,Sul,0.2862646168086987,0.47873415832272054,0.35810065550777215,0.48189835819548854,0.3689211376831784,0.49471991454926517,both
4307005,2016,hybrid,hybrid_bvr,0.0,0.10452627541235136,0.22791682898324894,0.16980037888062682,0.8954737245876486,0.7720831710167511,0.12339055357089758,0.49037114845938373,0.4750391250065941,0.5768344792417661,11.47300931005337,10.124647600442506,RS,Sul,0.4528587380052427,0.7573375612917922,0.5386121443315507,0.44223868513924763,0.5488548931679985,0.4484382936787917,both
4307609,2016,hybrid,hybrid_bvr,0.0,0.18613001768583526,0.21332895600787918,0.19828908554572272,0.8138699823141647,0.7866710439921208,0.027198938322043925,0.509030667905774,0.5016422334374749,0.6077064808139069,10.658999017292624,9.947907145537584,RS,Sul,0.48896514542106934,0.8177200519990676,0.5627099608030046,0.44970583855167306,0.5364587496195895,0.4674552609799669,both
4307708,2016,hybrid,hybrid_bvr,0.0,0.07458175601416535,0.11574306601930912,0.09603252079903253,0.9254182439858346,0.8842569339806909,0.04116131000514377,0.5657792610990375,0.522365712146734,0.6788695489425416,11.299175158672613,10.164353288083854,RS,Sul,0.9991976796782034,1.6710065865332764,1.081091206602191,0.557474585611179,0.6009589163974735,0.5675529865592986,both
4307807,2016,hybrid,hybrid_bvr,0.0,0.10648043853720808,0.19819227608874282,0.15017252195734002,0.8935195614627919,0.8018077239112572,0.09171183755153474,0.4981580886222503,0.47167755991285404,0.5837223778400249,10.32937601028517,10.236258931236241,RS,Sul,-0.2645469228467517,-0.4424146087552965,-0.24285172450523923,0.41995874875672906,0.2912280944025647,0.3189750845711628,both
4307906,2016,hybrid,hybrid_bvr,0.0,0.06999166334408641,0.1367634610430238,0.10310388899032318,0.9300083366559135,0.8632365389569762,0.0667717976989374,0.4375731030535301,0.42890136088209,0.5257524585278633,11.060918912426148,10.279566170106088,RS,Sul,-0.026258129062501894,-0.04391273869612301,0.038395705425187304,0.3592387488477393,0.49022273482912465,0.32980639914935833,both
4308201,2016,hybrid,hybrid_bvr,0.0,0.583728813559322,0.5848543348543348,0.5841776769068655,0.41627118644067795,0.4151456651456652,0.0011255212950127547,0.32771961766044605,0.3258610624635143,0.4565674255691769,10.20824795652266,10.222952883643119,RS,Sul,0.15641729008883887,0.26158419630269053,0.27836098715119145,0.24498053186769195,0.5181632617813027,0.5544510460439228,both
4308458,2016,hybrid,hybrid_bvr,0.0,0.026160337552742614,0.1259351620947631,0.06634832872581051,0.9738396624472574,0.8740648379052369,0.0997748245420205,0.5578845533698806,0.552842916800514,0.5971731448763251,8.428361977709622,10.117920048493826,RS,Sul,0.19181809089366053,0.32078666696141006,0.2399436228159583,0.500037960970881,0.3475951716646208,0.4330427971342686,both
4308508,2016,hybrid,hybrid_bvr,0.0,0.06005221932114883,0.12698544010589013,0.09273932729624838,0.9399477806788512,0.8730145598941099,0.06693322078474132,0.5517104442049129,0.5345776365802463,0.6039031031939638,10.269622608180354,9.97643450505521,RS,Sul,-0.12731102904358932,-0.21290838879717977,-0.08154764223122347,0.49494950167394464,0.237418414653585,0.37502962835612186,both
4308607,2016,hybrid,hybrid_bvr,0.0,0.5599080107320813,0.5957589785708952,0.5779382846770534,0.4400919892679187,0.4042410214291048,0.03585096783881392,0.3930424653182251,0.38538453356025953,0.4872885863206042,10.331659563179363,10.405388856115685,RS,Sul,-0.0640567510894301,-0.10712520170866759,0.021536875975758176,0.3398017563056816,0.4093126854081141,0.42373385076890796,both
4308805,2016,hybrid,hybrid_bvr,0.0,0.0713174850033326,0.13459983831851252,0.0936560217671488,0.9286825149966674,0.8654001616814875,0.06328235331517992,0.5413001912045889,0.5348435400268765,0.6310232290266846,9.041566627727496,9.337979572866313,RS,Sul,0.21916433967319088,0.3665191208661162,0.2612293793444153,0.5319056444826634,0.3758584341783478,0.38431909541244397,both
4308904,2016,hybrid,hybrid_bvr,0.0,0.17531305903398928,0.24829649326907097,0.20816725577197864,0.8246869409660107,0.751703506730929,0.07298343423508169,0.3710895361380798,0.37528672584023137,0.43652139224094944,9.689922976002242,9.798979575294165,RS,Sul,-0.326893001669233,-0.5466789705284754,-0.25151100198674464,0.3257723743160636,0.32757816658299127,0.37597550623244586,both
4309100,2016,hybrid,hybrid_bvr,0.0,0.17864866636083623,0.21936560934891486,0.19880932693897801,0.8213513336391638,0.7806343906510851,0.040716942988078625,0.30896382355719276,0.28582198558168026,0.4119116053338359,10.3819862463277,10.240375795677826,RS,Sul,-0.8930493601917432,-1.4934896200522911,-0.8339712279036289,0.26293268141223763,0.2592415699423054,0.19788716796156983,both
4309209,2016,hybrid,hybrid_bvr,0.0,0.11741756858796878,0.2263824190277854,0.1705954504309075,0.8825824314120312,0.7736175809722146,0.1089648504398166,0.4336074272471971,0.4202069638602635,0.5855771162844102,12.451603715722012,10.258962743185506,RS,Sul,0.5221373880084305,0.8731955970097526,0.6150594897173538,0.43505184543370845,0.5275546157460879,0.5233129190948275,both
