id_municipio,delta_pt_2006_2010,delta_pt_2010_2014,delta_pt_2014_2018,delta_left_2014_2018,pt_share_2006_runoff,pt_share_2010_runoff,pt_share_2014_runoff,pt_share_2018_runoff,pc1_2006_2010_score,pc1_2006_2010_score_z,pt_share_mean_2006_2010,year_first_any_bvr,first_regime,bvr_by_2014,bvr_by_2018,bvr_by_2014_strict,bvr_by_2014_hybrid,bvr_by_2018_strict,bvr_by_2018_hybrid,bvr_by_2018_minus_2014_only,bvr_by_2014_x_pc1,bvr_by_2018_x_pc1,log_population_2010,log_gdp_per_capita_2010,state,region
1101468,-0.09113637891622961,-0.013700532868651694,-0.10086194884044986,-0.14645771603439067,0.5413851351351351,0.4502487562189055,0.4365482233502538,0.33568627450980393,0.4939037831729367,-0.7198084840016981,0.4958169456770203,2018,strict,0,1,0,0,1,0,1,-0.0,-0.7198084840016981,7.747164966520335,9.848253343905439,RO,Norte
1101484,-0.03912740725949232,-0.027788770516405492,-0.07399645442414865,-0.15914925423684084,0.4378935317687464,0.3987661245092541,0.3709773539928486,0.29698089956869994,0.4174979436854702,-1.2062717467054354,0.4183298281390002,2018,strict,0,1,0,0,1,0,1,-0.0,-1.2062717467054354,8.70251025718999,9.185899887784883,RO,Norte
1101492,0.014638670035631185,0.1121082712099406,-0.2258423583491722,-0.2594108064895715,0.4270179200490121,0.4416565900846433,0.5537648612945839,0.3279225029454117,0.43485948703102295,-1.0957336899534333,0.43433725506682774,9999,never_treated,0,0,0,0,0,0,0,-0.0,-0.0,9.682529112127256,9.289792850090876,RO,Norte
1101500,0.0117214754266185,-0.014221629120299228,-0.13586524981273357,-0.17996676130494782,0.5085166198114768,0.5202380952380953,0.506016466117796,0.3701512163050625,0.5150250457558222,-0.5853329206492619,0.5143773575247861,9999,never_treated,0,0,0,0,0,0,0,-0.0,-0.0,9.361257257293044,9.218826065376222,RO,Norte
1101559,-0.020361310082213258,0.06930171518700196,-0.1151317993798393,-0.17648857873638968,0.4211450649806814,0.4007837548984681,0.4700854700854701,0.3549536707056308,0.4105733099840758,-1.2503597369167225,0.4109644099395747,9999,never_treated,0,0,0,0,0,0,0,-0.0,-0.0,8.494538500851432,9.233015062340991,RO,Norte
1101609,0.012141621016565018,0.030218288084186307,-0.10357042563735475,-0.12196964593109166,0.3994797473058342,0.4116213683223992,0.4418396564065855,0.33826923076923077,0.40594095191886526,-1.2798531896885352,0.4055505578141167,9999,never_treated,0,0,0,0,0,0,0,-0.0,-0.0,9.273221270015384,9.201331939401472,RO,Norte
1101708,-0.02395154711373726,0.0894349529248048,-0.16527121358747066,-0.22420820583696255,0.4395823737141102,0.4156308266003729,0.5050657795251777,0.33979456593770707,0.427168624438096,-1.1447001319827117,0.42760660015724156,9999,never_treated,0,0,0,0,0,0,0,-0.0,-0.0,9.470702633773001,9.143561019250336,RO,Norte
1101807,0.0016146047299525068,0.041960969874248966,-0.1481164295960693,-0.17217687867508524,0.4543668122270742,0.4559814169570267,0.4979423868312757,0.3498259572352064,0.45542909554722194,-0.9647704162239407,0.4551741145920505,9999,never_treated,0,0,0,0,0,0,0,-0.0,-0.0,9.013108202446475,9.29398942383372,RO,Norte
1200013,-0.1946053762132405,0.10267178970157878,-0.15049217512541527,-0.2572062950805153,0.4435085149240066,0.2489031387107661,0.3515749284123449,0.20108275328692962,0.34139465998445306,-1.6908086870755221,0.3462058268173864,2016,hybrid,0,1,0,0,0,1,1,-0.0,-1.6908086870755221,9.436519311833914,9.182315326729055,AC,Norte
1200104,-0.24900112651949002,0.110177514352716,-0.12345143146071119,-0.29457734058371576,0.5314251401120896,0.2824240135925996,0.3926015279453156,0.2691500964846044,0.4009325395720954,-1.3117409174789614,0.4069245768523446,2016,hybrid,0,1,0,0,0,1,1,-0.0,-1.3117409174789614,9.971052738698551,9.095154088019857,AC,Norte
1200179,-0.1974906988931199,0.09378484875997309,-0.07684845818709718,-0.31290449887869026,0.3985828166519043,0.2010921177587844,0.2948769665187575,0.21802850833166032,0.2948417406016107,-1.987203376320137,0.2998374672053444,2016,hybrid,0,1,0,0,0,1,1,-0.0,-1.987203376320137,9.082279701908664,9.420266702513285,AC,Norte
1200203,-0.07497109309567485,0.04005068764542202,-0.1864163454877855,-0.3768166203262917,0.4219783523752255,0.3470072592795507,0.3870579469249727,0.2006416014371872,0.3827012301878274,-1.4278166298319044,0.3844928058273881,2018,strict,0,1,0,0,1,0,1,-0.0,-1.4278166298319044,11.270943071769437,9.192307739086859,AC,Norte
1200252,-0.3396549082707986,0.07435900881626478,-0.09281388393291176,-0.3642438232369017,0.6019124308002013,0.2622575225294027,0.3366165313456675,0.24380264741275573,0.4239380134616889,-1.165268894352861,0.432084976664802,2018,strict,0,1,0,0,1,0,1,-0.0,-1.165268894352861,9.622450022803015,9.169773587712626,AC,Norte
1200302,-0.12697022241761668,0.024389094652024657,-0.14279651936472587,-0.26814760048393604,0.7003637967148054,0.5733935742971887,0.5977826689492134,0.4549861495844875,0.6344360890608388,0.17493731679174546,0.6368786855059971,2016,hybrid,0,1,0,0,0,1,1,0.0,0.17493731679174546,10.386284003580617,8.730145533800238,AC,Norte
1200328,-0.23274307512382963,0.07486496950310051,-0.05030280558645417,-0.17882729231581662,0.7153493699885453,0.4826062948647156,0.5574712643678161,0.507168458781362,0.5938555522644735,-0.0834322065935343,0.5989778324266304,2018,hybrid,0,1,0,0,0,1,1,-0.0,-0.0834322065935343,8.79133399330135,8.7434397234113,AC,Norte
1200336,-0.14650598008650134,0.1191519611027187,-0.22452586713496292,-0.37166542524874874,0.5606508875739645,0.4141449074874632,0.5332968685901819,0.30877100145521896,0.48411006435371606,-0.782163461615452,0.48739789753071383,9999,never_treated,0,0,0,0,0,0,0,-0.0,-0.0,9.629445365788381,8.744342912225706,AC,Norte
1200344,-0.0760520266813613,0.09903078275037042,-0.054853454584717964,-0.3257762730672804,0.4480492813141684,0.3719972546328071,0.4710280373831775,0.41617458279845954,0.4082680306315188,-1.2650370668539506,0.41002326797348776,9999,never_treated,0,0,0,0,0,0,0,-0.0,-0.0,8.984818995876008,8.852519193471188,AC,Norte
1200351,-0.005025366253773866,0.1305939138001178,-0.02992412403674971,-0.13185802844320954,0.3946536361023282,0.3896282698485543,0.5202221836486721,0.4902980596119224,0.39207858742812723,-1.3681125570901465,0.39214095297544127,9999,never_treated,0,0,0,0,0,0,0,-0.0,-0.0,9.562896846651167,8.817013984757986,AC,Norte
1200385,-0.24239396903424132,0.06655594604292009,-0.10516472914992209,-0.4299154055301174,0.5005295207836907,0.2581355517494494,0.3246914977923695,0.2195267686424474,0.37343422654200903,-1.4868180996053204,0.37933253626657004,2018,strict,0,1,0,0,1,0,1,-0.0,-1.4868180996053204,9.753187781764911,8.949908691766709,AC,Norte
1200393,-0.0722937726511218,0.042988034167735445,-0.11123161204682946,-0.24462842592782447,0.5295872700149179,0.4572934973637961,0.5002815315315315,0.3890499194847021,0.491982142485778,-0.7320432504107866,0.493440383689357,2018,hybrid,0,1,0,0,0,1,1,-0.0,-0.7320432504107866,9.124346658809207,8.790794465806405,AC,Norte
1200427,-0.20256739820698555,0.07322050242714484,-0.1775065889224695,-0.3768963646088364,0.5678714859437751,0.3653040877367896,0.4385245901639344,0.2610180012414649,0.461877900354415,-0.9237119493830481,0.46658778684028235,2016,hybrid,0,1,0,0,0,1,1,-0.0,-0.9237119493830481,9.574219304763417,9.063353490533068,AC,Norte
1200435,-0.32553096987805863,0.3030956549419067,-0.016330075772915675,-0.27992615083469574,0.5738916256157636,0.2483606557377049,0.5514563106796116,0.535126234906696,0.4032730241429263,-1.2968394417766897,0.41112614067673425,9999,never_treated,0,0,0,0,0,0,0,-0.0,-0.0,8.453401058328458,8.941592526970354,AC,Norte
1200450,-0.2071638364159391,0.04691053584174071,-0.11805027543309521,-0.43788463412933354,0.4713896457765668,0.2642258093606277,0.3111363452023684,0.19308606976927317,0.36274257629776,-1.554890057146704,0.36780772756859725,2016,strict,0,1,0,0,1,0,1,-0.0,-1.554890057146704,9.912397738665884,9.121412477860396,AC,Norte
1200500,-0.17588268242001442,0.010273446775364625,-0.0939951522016565,-0.3711826956264612,0.4950440528634361,0.3191613704434217,0.3294348172187863,0.23543966501712982,0.40289910174611765,-1.2992201434399362,0.40710271165342893,2018,hybrid,0,1,0,0,0,1,1,-0.0,-1.2992201434399362,10.546104305546345,8.847353358226918,AC,Norte
1200609,-0.08165103419178049,0.11368598857886708,-0.1917159598074435,-0.28886955126093866,0.5481314811191548,0.4664804469273743,0.5801664355062414,0.38845047569879787,0.5056529973666739,-0.6450031928193657,0.5073059640232646,2016,hybrid,0,1,0,0,0,1,1,-0.0,-0.6450031928193657,10.479819978504239,8.764873914543784,AC,Norte
1200708,-0.14535214980701766,0.14546721453817946,-0.08858763301271205,-0.2883226357636389,0.4966848386621482,0.3513326888551305,0.49679990339331,0.40821227038059793,0.420593293254407,-1.1865641712031652,0.4240087637586394,2016,strict,0,1,0,0,1,0,1,-0.0,-1.1865641712031652,9.68601538845915,8.893888861041193,AC,Norte
1200807,-0.19785980049802862,0.17717240376839757,-0.15027275702853124,-0.35191134455717393,0.3945457765185054,0.1966859760204768,0.3738583797888744,0.22358562276034313,0.29060074444641915,-2.0142050929508,0.2956158762694911,2016,strict,0,1,0,0,1,0,1,-0.0,-2.0142050929508,9.607773308387083,8.949717198456689,AC,Norte
1300029,0.026850321598800186,-0.12984202182484983,0.009465986223178735,-0.09864480689300892,0.886784140969163,0.9136344625679632,0.7837924407431134,0.7932584269662921,0.9021755701751142,1.8795900293481118,0.9002093017685631,9999,never_treated,0,0,0,0,0,0,0,0.0,0.0,9.553078650176042,8.32914830289286,AM,Norte
1300060,-0.050370381668820574,-0.07421800121211641,0.033603066947757054,-0.1063690308974431,0.8917389664277631,0.8413685847589425,0.7671505835468261,0.8007536504945831,0.8665489932135793,1.6527615436730476,0.8665537755933528,9999,never_treated,0,0,0,0,0,0,0,0.0,0.0,9.15556734612889,8.269265257165891,AM,Norte
1300086,0.0006461444681499229,-0.042191688486765355,-0.07476453586343978,-0.18918395313028702,0.8134715025906736,0.8141176470588235,0.7719259585720581,0.6971614227086184,0.8149075994348375,1.3239693848970664,0.8137945748247486,9999,never_treated,0,0,0,0,0,0,0,0.0,0.0,9.23151460720759,8.533565191258793,AM,Norte
1300102,-0.038377237218822136,-0.15121306378452237,-0.036867076300847845,-0.15433985062725897,0.8467809364548495,0.8084036992360274,0.657190635451505,0.6203235591506572,0.8277850148051626,1.4059577451881304,0.8275923178454385,9999,never_treated,0,0,0,0,0,0,0,0.0,0.0,9.69996278809107,8.281034004366447,AM,Norte
1300144,0.03970535699386346,-0.05839264447623105,-0.18149583210787407,-0.17143764483222623,0.6864538731023745,0.726159230096238,0.6677665856200069,0.48627075351213284,0.7081104275112824,0.6440095670354112,0.7063065515993062,9999,never_treated,0,0,0,0,0,0,0,0.0,0.0,9.798515850169505,8.66635401317034,AM,Norte
1300201,-0.16349089603350864,0.018224575078075622,0.19626419784050997,-0.022556186923965882,0.774294670846395,0.6108037748128864,0.629028349890962,0.825292547731472,0.6893504492378483,0.5245679078590466,0.6925492228296407,9999,never_treated,0,0,0,0,0,0,0,0.0,0.0,9.625953811136162,8.422154868010065,AM,Norte
1300300,-0.010591460265936381,-0.07457253212375481,-0.08012851192626114,-0.1569458781545794,0.8987401278676194,0.888148667601683,0.8135761354779282,0.733447623551667,0.8944784573172435,1.8305837929222584,0.8934443977346511,2016,strict,0,1,0,0,1,0,1,0.0,1.8305837929222584,10.377701057805387,8.479846557394675,AM,Norte
