year,state,municipality_id,pct_mayor_R,pct_mayor_C,pct_mayor_L,pct_mayor_IDK,treated_bvr_2016,group,post_2016,treated_x_post
2020,RO,1101559,0.11235595390524968,0.4052496798975672,0.4823943661971831,0.0,0,Never BVR,1,0
2000,RO,1101609,0.0,0.9702052091554854,0.029794790844514602,0.0,0,Never BVR,0,0
2004,RO,1101609,0.0,1.0,0.0,0.0,0,Never BVR,0,0
2008,RO,1101609,0.0,0.8610519914867741,0.13894800851322592,0.0,0,Never BVR,0,0
2012,RO,1101609,0.0,0.7704112952731738,0.22958870472682627,0.0,0,Never BVR,0,0
2016,RO,1101609,0.0,1.0,0.0,0.0,0,Never BVR,1,0
2020,RO,1101609,0.4285237140948564,0.5714762859051437,0.0,0.0,0,Never BVR,1,0
2000,RO,1101708,0.0,0.8553750966744006,0.14462490332559938,0.0,0,Never BVR,0,0
2004,RO,1101708,0.5517446176688938,0.2206384558277654,0.22761692650334076,0.0,0,Never BVR,0,0
2008,RO,1101708,0.34190966266437967,0.6580903373356204,0.0,0.0,0,Never BVR,0,0
2012,RO,1101708,0.3761467889908257,0.6238532110091743,0.0,0.0,0,Never BVR,0,0
2016,RO,1101708,1.0,0.0,0.0,0.0,0,Never BVR,1,0
2020,RO,1101708,0.6357164495607391,0.3642835504392608,0.0,0.0,0,Never BVR,1,0
2000,RO,1101807,0.42326980942828485,0.3576730190571715,0.21905717151454362,0.0,0,Never BVR,0,0
2004,RO,1101807,1.0,0.0,0.0,0.0,0,Never BVR,0,0
2008,RO,1101807,0.0989310009718173,0.6579203109815355,0.24314868804664724,0.0,0,Never BVR,0,0
2012,RO,1101807,0.4044615103309563,0.5955384896690437,0.0,0.0,0,Never BVR,0,0
2016,RO,1101807,0.47593020811435777,0.5240697918856422,0.0,0.0,0,Never BVR,1,0
2020,RO,1101807,0.5557046979865772,0.4442953020134228,0.0,0.0,0,Never BVR,1,0
2000,AC,1200336,0.6385657066564944,0.36143429334350563,0.0,0.0,0,Never BVR,0,0
2004,AC,1200336,0.3809757694826457,0.31106745252128354,0.30795677799607074,0.0,0,Never BVR,0,0
2008,AC,1200336,0.32643437254388263,0.6735656274561174,0.0,0.0,0,Never BVR,0,0
2012,AC,1200336,0.2589476179189381,0.37319269969187013,0.36785968238919176,0.0,0,Never BVR,0,0
2016,AC,1200336,0.4365461007735731,0.0,0.563453899226427,0.0,0,Never BVR,1,0
2020,AC,1200336,0.0,0.45676567656765676,0.5432343234323432,0.0,0,Never BVR,1,0
2000,AC,1200344,0.0,0.4667463162086818,0.5332536837913182,0.0,0,Never BVR,0,0
2004,AC,1200344,0.6915977084659453,0.0,0.30840229153405474,0.0,0,Never BVR,0,0
2008,AC,1200344,0.6349466776045939,0.0,0.36505332239540605,0.0,0,Never BVR,0,0
2012,AC,1200344,0.6675263271007952,0.3324736728992048,0.0,0.0,0,Never BVR,0,0
2016,AC,1200344,0.21768982229402262,0.43760096930533116,0.3447092084006462,0.0,0,Never BVR,1,0
2020,AC,1200344,0.42883617494440324,0.5711638250555967,0.0,0.0,0,Never BVR,1,0
2000,AC,1200351,0.0,1.0,0.0,0.0,0,Never BVR,0,0
2004,AC,1200351,0.0,0.37651277454056475,0.6234872254594352,0.0,0,Never BVR,0,0
2008,AC,1200351,0.0,0.5483870967741935,0.45161290322580644,0.0,0,Never BVR,0,0
2012,AC,1200351,0.0,0.390625,0.609375,0.0,0,Never BVR,0,0
2016,AC,1200351,0.0,0.5651573716178907,0.43484262838210935,0.0,0,Never BVR,1,0
2020,AC,1200351,0.6055177355786456,0.0,0.39448226442135437,0.0,0,Never BVR,1,0
2000,AC,1200435,0.40249609984399376,0.0,0.5975039001560063,0.0,0,Never BVR,0,0
2004,AC,1200435,0.0,0.0,1.0,0.0,0,Never BVR,0,0
2008,AC,1200435,0.17589348283111422,0.3538892782060266,0.47021723896285916,0.0,0,Never BVR,0,0
2012,AC,1200435,0.0,0.5198279980888677,0.48017200191113235,0.0,0,Never BVR,0,0
2016,AC,1200435,0.6978090119884249,0.0,0.302190988011575,0.0,0,Never BVR,1,0
2020,AC,1200435,0.39015817223198596,0.6098418277680141,0.0,0.0,0,Never BVR,1,0
2000,AC,1200450,0.5039701074264362,0.0,0.4960298925735638,0.0,1,Strict BVR in 2016,0,0
2004,AC,1200450,0.0,0.539269738895246,0.46073026110475396,0.0,1,Strict BVR in 2016,0,0
2008,AC,1200450,0.39585839491321534,0.6041416050867847,0.0,0.0,1,Strict BVR in 2016,0,0
2012,AC,1200450,0.13870462845643586,0.46142952970112544,0.3998658418424387,0.0,1,Strict BVR in 2016,0,0
2016,AC,1200450,0.7026853306670475,0.2973146693329524,0.0,0.0,1,Strict BVR in 2016,1,1
2020,AC,1200450,0.34447055367895435,0.6555294463210457,0.0,0.0,1,Strict BVR in 2016,1,1
2000,AC,1200708,0.36428682532275625,0.0,0.6357131746772438,0.0,1,Strict BVR in 2016,0,0
2004,AC,1200708,0.0,0.5111078844199216,0.4888921155800784,0.0,1,Strict BVR in 2016,0,0
2008,AC,1200708,0.0,0.6315138012130214,0.3684861987869786,0.0,1,Strict BVR in 2016,0,0
2012,AC,1200708,0.0,0.588228584464469,0.411771415535531,0.0,1,Strict BVR in 2016,0,0
2016,AC,1200708,0.3861683848797251,0.19995704467353953,0.41387457044673537,0.0,1,Strict BVR in 2016,1,1
2020,AC,1200708,0.4022962373536433,0.16403319313402295,0.43367056951233374,0.0,1,Strict BVR in 2016,1,1
2000,AC,1200807,0.0,1.0,0.0,0.0,1,Strict BVR in 2016,0,0
2004,AC,1200807,0.23076923076923078,0.5102192493496841,0.2590115198810851,0.0,1,Strict BVR in 2016,0,0
