year,state,municipality_id,pct_mayor_R,pct_mayor_C,pct_mayor_L,pct_mayor_IDK,treated_bvr_2016,gdp_pc,log_gdp_pc,gdp_split,gdp_median_cutoff,baseline_gdp_year,treat_bvr2016_x_2016
2012,TO,1717503,0.4896519285042333,0.4574317968015052,0.05291627469426152,0.0,1,10780.026204687727,9.285450275321605,below_median,12884.130129618063,2012,0
2016,TO,1717503,0.27335279399499585,0.7266472060050042,0.0,0.0,1,10780.026204687727,9.285450275321605,below_median,12884.130129618063,2012,1
2012,TO,1717800,0.5621401964104301,0.43785980358956994,0.0,0.0,1,6496.696035242291,8.77904902438392,below_median,12884.130129618063,2012,0
2016,TO,1717800,0.49314586994727594,0.5068541300527241,0.0,0.0,1,6496.696035242291,8.77904902438392,below_median,12884.130129618063,2012,1
2012,TO,1718006,0.43266630611141155,0.5673336938885885,0.0,0.0,1,6988.0994049702485,8.851963896248686,below_median,12884.130129618063,2012,0
2016,TO,1718006,0.5010593220338984,0.4231991525423729,0.07574152542372882,0.0,1,6988.0994049702485,8.851963896248686,below_median,12884.130129618063,2012,1
2012,TO,1718204,0.008043093270365998,0.6852863046044865,0.3066706021251476,0.0,1,17408.727448065256,9.7647269369297,above_or_equal_median,12884.130129618063,2012,0
2016,TO,1718204,0.0,0.9879822290408157,0.012017770959184326,0.0,1,17408.727448065256,9.7647269369297,above_or_equal_median,12884.130129618063,2012,1
2012,TO,1718402,0.4480240549828179,0.0,0.5519759450171822,0.0,1,14811.716621253407,9.603173810150071,above_or_equal_median,12884.130129618063,2012,0
2016,TO,1718402,0.6790890269151139,0.32091097308488614,0.0,0.0,1,14811.716621253407,9.603173810150071,above_or_equal_median,12884.130129618063,2012,1
2012,TO,1718659,0.0,1.0,0.0,0.0,1,7143.8127090301,8.874001905671536,below_median,12884.130129618063,2012,0
2016,TO,1718659,0.5227544910179641,0.0,0.47724550898203594,0.0,1,7143.8127090301,8.874001905671536,below_median,12884.130129618063,2012,1
2012,TO,1718709,0.44680851063829785,0.5531914893617021,0.0,0.0,1,9667.048929663608,9.1764783639666,below_median,12884.130129618063,2012,0
2016,TO,1718709,0.04016477857878476,0.9598352214212152,0.0,0.0,1,9667.048929663608,9.1764783639666,below_median,12884.130129618063,2012,1
2012,TO,1718899,0.5316455696202531,0.46835443037974683,0.0,0.0,1,13159.447004608295,9.484895183069982,above_or_equal_median,12884.130129618063,2012,0
2016,TO,1718899,0.5626156693399136,0.43738433066008636,0.0,0.0,1,13159.447004608295,9.484895183069982,above_or_equal_median,12884.130129618063,2012,1
2012,TO,1718907,0.0,1.0,0.0,0.0,1,14137.39960929021,9.556579019376366,above_or_equal_median,12884.130129618063,2012,0
2016,TO,1718907,0.5051805337519624,0.4948194662480377,0.0,0.0,1,14137.39960929021,9.556579019376366,above_or_equal_median,12884.130129618063,2012,1
2012,TO,1719004,0.293282876064333,0.706717123935667,0.0,0.0,1,7711.798839458414,8.950506751855063,below_median,12884.130129618063,2012,0
2016,TO,1719004,0.0,1.0,0.0,0.0,1,7711.798839458414,8.950506751855063,below_median,12884.130129618063,2012,1
2012,TO,1720150,0.5369068541300527,0.46309314586994726,0.0,0.0,1,8644.565960355434,9.06468618984199,below_median,12884.130129618063,2012,0
2016,TO,1720150,0.8201144726083401,0.17988552739165986,0.0,0.0,1,8644.565960355434,9.06468618984199,below_median,12884.130129618063,2012,1
2012,TO,1720259,1.0,0.0,0.0,0.0,1,7766.689373297003,8.95759927448188,below_median,12884.130129618063,2012,0
2016,TO,1720259,0.44753086419753085,0.5524691358024691,0.0,0.0,1,7766.689373297003,8.95759927448188,below_median,12884.130129618063,2012,1
2012,TO,1720655,0.0,1.0,0.0,0.0,1,15831.0546875,9.669728776524257,above_or_equal_median,12884.130129618063,2012,0
2016,TO,1720655,0.5539160045402951,0.4460839954597049,0.0,0.0,1,15831.0546875,9.669728776524257,above_or_equal_median,12884.130129618063,2012,1
2012,TO,1720903,0.5492159227985525,0.45078407720144753,0.0,0.0,1,9991.914449660928,9.209531489885347,below_median,12884.130129618063,2012,0
2016,TO,1720903,0.266516923553559,0.7334830764464411,0.0,0.0,1,9991.914449660928,9.209531489885347,below_median,12884.130129618063,2012,1
2012,TO,1720937,0.4581806064645118,0.5418193935354881,0.0,0.0,1,7430.590610802625,8.913360624566453,below_median,12884.130129618063,2012,0
2016,TO,1720937,0.36065573770491804,0.639344262295082,0.0,0.0,1,7430.590610802625,8.913360624566453,below_median,12884.130129618063,2012,1
2012,TO,1721109,0.5268222275679577,0.47317777243204234,0.0,0.0,1,6281.25,8.745324284241486,below_median,12884.130129618063,2012,0
2016,TO,1721109,0.3012134189864383,0.6987865810135617,0.0,0.0,1,6281.25,8.745324284241486,below_median,12884.130129618063,2012,1
2012,TO,1721307,0.0,1.0,0.0,0.0,1,12019.021739130434,9.394245818681533,below_median,12884.130129618063,2012,0
2016,TO,1721307,0.6375305623471883,0.36246943765281175,0.0,0.0,1,12019.021739130434,9.394245818681533,below_median,12884.130129618063,2012,1
2012,MA,2100055,0.0,0.9130799878508513,0.08692001214914867,0.0,1,12210.727105297778,9.410070115315158,below_median,12884.130129618063,2012,0
2016,MA,2100055,0.027248192104079444,0.3403515449292412,0.6324002629666794,0.0,1,12210.727105297778,9.410070115315158,below_median,12884.130129618063,2012,1
2012,MA,2100154,0.0,1.0,0.0,0.0,0,3641.2136536030343,8.200072326377766,below_median,12884.130129618063,2012,0
2016,MA,2100154,0.0,0.8934445216585591,0.10655547834144082,0.0,0,3641.2136536030343,8.200072326377766,below_median,12884.130129618063,2012,0
2012,MA,2100436,0.0,0.9987021414665801,0.0012978585334198572,0.0,0,5679.854694780068,8.644680929483057,below_median,12884.130129618063,2012,0
2016,MA,2100436,0.0,1.0,0.0,0.0,0,5679.854694780068,8.644680929483057,below_median,12884.130129618063,2012,0
2012,MA,2100477,0.5292908530318602,0.47070914696813976,0.0,0.0,0,4012.1192689964732,8.29707487670488,below_median,12884.130129618063,2012,0
2016,MA,2100477,0.42678681138644275,0.5732131886135572,0.0,0.0,0,4012.1192689964732,8.29707487670488,below_median,12884.130129618063,2012,0
2012,MA,2100550,0.6324719394413991,0.3675280605586009,0.0,0.0,0,4408.020659273887,8.39118103758989,below_median,12884.130129618063,2012,0
2016,MA,2100550,0.42300194931773877,0.5769980506822612,0.0,0.0,0,4408.020659273887,8.39118103758989,below_median,12884.130129618063,2012,0
2012,MA,2100808,0.5959861300830094,0.4040138699169907,0.0,0.0,0,5411.330389180237,8.596250254581205,below_median,12884.130129618063,2012,0
2016,MA,2100808,0.4156426760288668,0.5843573239711333,0.0,0.0,0,5411.330389180237,8.596250254581205,below_median,12884.130129618063,2012,0
2012,MA,2100832,0.08763328839318545,0.9123667116068146,0.0,0.0,0,3643.5465191095095,8.200712804727337,below_median,12884.130129618063,2012,0
2016,MA,2100832,0.0,0.513317191283293,0.48668280871670705,0.0,0,3643.5465191095095,8.200712804727337,below_median,12884.130129618063,2012,0
2012,MA,2100873,1.0,0.0,0.0,0.0,0,3098.0773235232873,8.03853697984006,below_median,12884.130129618063,2012,0
2016,MA,2100873,0.6061114842175958,0.0,0.3938885157824043,0.0,0,3098.0773235232873,8.03853697984006,below_median,12884.130129618063,2012,0
2012,MA,2100907,0.8978354170554208,0.07977234558686322,0.02239223735771599,0.0,0,3995.9911117219895,8.293046915472173,below_median,12884.130129618063,2012,0
2016,MA,2100907,0.7832442221455674,0.0,0.21675577785443256,0.0,0,3995.9911117219895,8.293046915472173,below_median,12884.130129618063,2012,0
2012,MA,2101202,0.4652233393411652,0.5347766606588348,0.0,0.0,1,7446.454864370769,8.91549334098623,below_median,12884.130129618063,2012,0
2016,MA,2101202,0.4299920832233781,0.5680634453256295,0.0019444714509923749,0.0,1,7446.454864370769,8.91549334098623,below_median,12884.130129618063,2012,1
2012,MA,2101301,1.0,0.0,0.0,0.0,0,3548.660893502323,8.174325598208767,below_median,12884.130129618063,2012,0
2016,MA,2101301,0.3924233661075766,0.5092539039907461,0.09832272990167727,0.0,0,3548.660893502323,8.174325598208767,below_median,12884.130129618063,2012,0
2012,MA,2101350,0.0,1.0,0.0,0.0,1,4451.085947651754,8.400903378569202,below_median,12884.130129618063,2012,0
2016,MA,2101350,0.0,1.0,0.0,0.0,1,4451.085947651754,8.400903378569202,below_median,12884.130129618063,2012,1
2012,MA,2101400,0.5732890333220159,0.4193141582189455,0.007396808459038657,0.0,1,23928.966079694914,10.08284497393871,above_or_equal_median,12884.130129618063,2012,0
2016,MA,2101400,0.39062039576580454,0.6093796042341955,0.0,0.0,1,23928.966079694914,10.08284497393871,above_or_equal_median,12884.130129618063,2012,1
2012,MA,2101509,0.5678987942281083,0.4321012057718917,0.0,0.0,0,6221.587728137946,8.735780414917997,below_median,12884.130129618063,2012,0
2016,MA,2101509,0.0,0.45892791803878524,0.5410720819612148,0.0,0,6221.587728137946,8.735780414917997,below_median,12884.130129618063,2012,0
2012,MA,2101731,0.2928505957836847,0.28528872593950505,0.4218606782768103,0.0,1,4188.51989693673,8.340102703955443,below_median,12884.130129618063,2012,0
2016,MA,2101731,0.4741532976827095,0.4864329570211923,0.039413745296098236,0.0,1,4188.51989693673,8.340102703955443,below_median,12884.130129618063,2012,1
2012,MA,2101939,0.0,0.5478329809725159,0.45216701902748413,0.0,0,5407.952871870398,8.595625903163823,below_median,12884.130129618063,2012,0
2016,MA,2101939,0.0,0.5414364640883977,0.4585635359116022,0.0,0,5407.952871870398,8.595625903163823,below_median,12884.130129618063,2012,0
2012,MA,2102036,0.45719623131903836,0.5328135152696556,0.009990253411306042,0.0,0,5910.968637430186,8.68456499501266,below_median,12884.130129618063,2012,0
2016,MA,2102036,0.0,0.4919567510548523,0.5080432489451476,0.0,0,5910.968637430186,8.68456499501266,below_median,12884.130129618063,2012,0
2012,MA,2102309,0.0,1.0,0.0,0.0,0,3770.9243479389247,8.235075435518784,below_median,12884.130129618063,2012,0
2016,MA,2102309,0.0,0.5356095359855606,0.46439046401443934,0.0,0,3770.9243479389247,8.235075435518784,below_median,12884.130129618063,2012,0
2012,MA,2102358,0.5584277148567621,0.4295802798134577,0.011992005329780146,0.0,0,3449.430676490288,8.145964475100728,below_median,12884.130129618063,2012,0
2016,MA,2102358,0.0,0.6433898305084745,0.3566101694915254,0.0,0,3449.430676490288,8.145964475100728,below_median,12884.130129618063,2012,0
2012,MA,2102374,0.626945885841364,0.37305411415863604,0.0,0.0,0,3804.8100383408855,8.244021344829001,below_median,12884.130129618063,2012,0
2016,MA,2102374,0.4960225389459728,0.5039774610540272,0.0,0.0,0,3804.8100383408855,8.244021344829001,below_median,12884.130129618063,2012,0
2012,MA,2102556,0.011620051344412918,0.38778543440075663,0.6005945142548305,0.0,0,4963.367279654187,8.509839676406473,below_median,12884.130129618063,2012,0
2016,MA,2102556,0.2979744136460554,0.0,0.7020255863539445,0.0,0,4963.367279654187,8.509839676406473,below_median,12884.130129618063,2012,0
2012,MA,2102705,0.5828343313373253,0.4171656686626746,0.0,0.0,0,3897.2172996791032,8.268018064543464,below_median,12884.130129618063,2012,0
2016,MA,2102705,0.6149829282988551,0.3757782687286604,0.009238802972484434,0.0,0,3897.2172996791032,8.268018064543464,below_median,12884.130129618063,2012,0
2012,MA,2102754,0.5718076802997191,0.4274118014361536,0.0007805182641273806,0.0,0,5388.640179071069,8.592048346186976,below_median,12884.130129618063,2012,0
2016,MA,2102754,0.0,0.3067394189647545,0.6932605810352456,0.0,0,5388.640179071069,8.592048346186976,below_median,12884.130129618063,2012,0
2012,MA,2102804,0.08629164391043145,0.9137083560895686,0.0,0.0,0,8092.089334168232,8.998642238039876,below_median,12884.130129618063,2012,0
2016,MA,2102804,0.0,1.0,0.0,0.0,0,8092.089334168232,8.998642238039876,below_median,12884.130129618063,2012,0
2012,MA,2102903,0.833420868347339,0.02774859943977591,0.13883053221288516,0.0,0,4772.1277257183465,8.470547548517272,below_median,12884.130129618063,2012,0
2016,MA,2102903,0.9344749394010478,0.06552506059895223,0.0,0.0,0,4772.1277257183465,8.470547548517272,below_median,12884.130129618063,2012,0
2012,MA,2103000,0.05868904489093305,0.8807929207348234,0.06051803437424352,0.0,1,7970.125079875236,8.983455465497405,below_median,12884.130129618063,2012,0
2016,MA,2103000,0.507856865033061,0.49214313496693896,0.0,0.0,1,7970.125079875236,8.983455465497405,below_median,12884.130129618063,2012,1
2012,MA,2103158,1.0,0.0,0.0,0.0,0,4111.194590533433,8.321468919889412,below_median,12884.130129618063,2012,0
2016,MA,2103158,1.0,0.0,0.0,0.0,0,4111.194590533433,8.321468919889412,below_median,12884.130129618063,2012,0
2012,MA,2103307,0.14884543578657758,0.839225705021126,0.011928859192296354,0.0,1,6359.895531537886,8.75776723034044,below_median,12884.130129618063,2012,0
2016,MA,2103307,0.07836089144500359,0.8033429187634795,0.11829618979151689,0.0,1,6359.895531537886,8.75776723034044,below_median,12884.130129618063,2012,1
2012,MA,2103604,0.0,0.5364859087770069,0.4635140912229932,0.0,1,4278.452721148166,8.361346709463565,below_median,12884.130129618063,2012,0
2016,MA,2103604,0.00413065582104728,0.46765378749364517,0.5282155566853076,0.0,1,4278.452721148166,8.361346709463565,below_median,12884.130129618063,2012,1
2012,MA,2103703,0.38262327302156196,0.617376726978438,0.0,0.0,0,4218.210361067504,8.347166232025465,below_median,12884.130129618063,2012,0
2016,MA,2103703,0.0,0.3776770538243626,0.6223229461756374,0.0,0,4218.210361067504,8.347166232025465,below_median,12884.130129618063,2012,0
2012,MA,2104008,0.0,1.0,0.0,0.0,1,4695.681625740897,8.454398562306062,below_median,12884.130129618063,2012,0
2016,MA,2104008,0.0,0.44583096993760635,0.5541690300623936,0.0,1,4695.681625740897,8.454398562306062,below_median,12884.130129618063,2012,1
2012,MA,2104073,0.4461011484988918,0.5538988515011082,0.0,0.0,1,5407.790626902009,8.59559590153362,below_median,12884.130129618063,2012,0
2016,MA,2104073,0.0,0.0,1.0,0.0,1,5407.790626902009,8.59559590153362,below_median,12884.130129618063,2012,1
2012,MA,2104107,1.0,0.0,0.0,0.0,1,9314.155696408256,9.13929063978743,below_median,12884.130129618063,2012,0
2016,MA,2104107,0.0,1.0,0.0,0.0,1,9314.155696408256,9.13929063978743,below_median,12884.130129618063,2012,1
2012,MA,2104206,0.4981098510117856,0.0,0.5018901489882144,0.0,0,4442.599182812706,8.398994885680027,below_median,12884.130129618063,2012,0
2016,MA,2104206,0.0,0.5646970830216903,0.43530291697830964,0.0,0,4442.599182812706,8.398994885680027,below_median,12884.130129618063,2012,0
2012,MA,2104404,0.43170838823012736,0.0,0.5682916117698726,0.0,0,4017.953833000855,8.298528055264283,below_median,12884.130129618063,2012,0
2016,MA,2104404,0.0,0.5063265512703715,0.4936734487296285,0.0,0,4017.953833000855,8.298528055264283,below_median,12884.130129618063,2012,0
2012,MA,2104503,0.0,1.0,0.0,0.0,0,3722.425761666024,8.222130821220553,below_median,12884.130129618063,2012,0
2016,MA,2104503,0.0,0.5643146796431467,0.4356853203568532,0.0,0,3722.425761666024,8.222130821220553,below_median,12884.130129618063,2012,0
2012,MA,2104552,0.5749139203148057,0.39370388588293165,0.03138219380226267,0.0,0,11904.510239625248,9.38467261902603,below_median,12884.130129618063,2012,0
2016,MA,2104552,0.17842430484037075,0.3846549948506694,0.43692070030895985,0.0,0,11904.510239625248,9.38467261902603,below_median,12884.130129618063,2012,0
2012,MA,2104628,1.0,0.0,0.0,0.0,0,3614.178504422407,8.192619862412318,below_median,12884.130129618063,2012,0
2016,MA,2104628,1.0,0.0,0.0,0.0,0,3614.178504422407,8.192619862412318,below_median,12884.130129618063,2012,0
2012,MA,2104651,1.0,0.0,0.0,0.0,0,4293.822545740704,8.364932651488065,below_median,12884.130129618063,2012,0
2016,MA,2104651,0.3696102104173853,0.018799586064160056,0.6115902035184546,0.0,0,4293.822545740704,8.364932651488065,below_median,12884.130129618063,2012,0
2012,MA,2104677,0.0,0.5114166074109189,0.4885833925890811,0.0,0,5861.943687556766,8.676236514871364,below_median,12884.130129618063,2012,0
2016,MA,2104677,0.3617591653383568,0.05897695986088972,0.5792638748007535,0.0,0,5861.943687556766,8.676236514871364,below_median,12884.130129618063,2012,0
2012,MA,2104701,0.0,1.0,0.0,0.0,0,3928.9430894308944,8.276125734707028,below_median,12884.130129618063,2012,0
2016,MA,2104701,0.43955094991364424,0.5604490500863558,0.0,0.0,0,3928.9430894308944,8.276125734707028,below_median,12884.130129618063,2012,0
2012,MA,2105005,0.5990886960863866,0.4009113039136134,0.0,0.0,0,3626.740429955816,8.196089570677215,below_median,12884.130129618063,2012,0
2016,MA,2105005,0.0,1.0,0.0,0.0,0,3626.740429955816,8.196089570677215,below_median,12884.130129618063,2012,0
2012,MA,2105302,0.32547366396306865,0.6358237425063316,0.038702593530599814,0.0,1,17568.82065719439,9.77388105640097,above_or_equal_median,12884.130129618063,2012,0
