event_time,term,estimate,std.error,statistic,p.value,conf.low,conf.high,region,region_slug,outcome
6,fixest::.__event_time_plot__::6:.__ever_treated__,-0.0695628008650865,0.005083866997744,-13.68304892633006,2.499090862337998e-07,-0.0810633070087466,-0.0580622947214264,Centro-Oeste,centro_oeste,pct_voters_low_ed
8,fixest::.__event_time_plot__::8:.__ever_treated__,-0.0326830852610674,0.0057537571010519,-5.680303267423625,0.0003017503042515104,-0.0456989881002131,-0.0196671824219216,Centro-Oeste,centro_oeste,pct_voters_low_ed
-8,fixest::.__event_time_plot__::-8:.__ever_treated__,-0.0040287035062241,0.0027034540759002,-1.4902060079872412,0.1703576049877162,-0.0101443415083177,0.0020869344958695,Centro-Oeste,centro_oeste,pct_voters_high_ed
-6,fixest::.__event_time_plot__::-6:.__ever_treated__,-0.0013416324092524,0.0012918293890512,-1.0385523201618805,0.326108951082547,-0.004263953514808,0.001580688696303,Centro-Oeste,centro_oeste,pct_voters_high_ed
-4,fixest::.__event_time_plot__::-4:.__ever_treated__,-0.0011421376727771,0.0008045197955475407,-1.4196514232441528,0.1894052053358498,-0.0029620878908879,0.0006778125453336555,Centro-Oeste,centro_oeste,pct_voters_high_ed
-2,(reference period),0.0,,,,,,Centro-Oeste,centro_oeste,pct_voters_high_ed
0,fixest::.__event_time_plot__::0:.__ever_treated__,0.0946059780748642,0.0039231093941175,24.115049714575804,1.733760035507006e-09,0.0857312880585203,0.1034806680912082,Centro-Oeste,centro_oeste,pct_voters_high_ed
2,fixest::.__event_time_plot__::2:.__ever_treated__,0.0885459501423185,0.0034950100619524,25.334962867847118,1.1185287468563316e-09,0.0806396880966208,0.0964522121880161,Centro-Oeste,centro_oeste,pct_voters_high_ed
4,fixest::.__event_time_plot__::4:.__ever_treated__,0.0832480862313817,0.0042318128464957,19.67196784241475,1.0504805737278878e-08,0.0736750604890599,0.0928211119737035,Centro-Oeste,centro_oeste,pct_voters_high_ed
6,fixest::.__event_time_plot__::6:.__ever_treated__,0.069637614007038,0.0051032224912205,13.645811862375323,2.55851504401784e-07,0.0580933226951705,0.0811819053189054,Centro-Oeste,centro_oeste,pct_voters_high_ed
8,fixest::.__event_time_plot__::8:.__ever_treated__,0.032654255991698,0.0057741294716273,5.655269101975083,0.00031150476682773845,0.0195922676485319,0.0457162443348641,Centro-Oeste,centro_oeste,pct_voters_high_ed
-8,fixest::.__event_time_plot__::-8:.__ever_treated__,-0.0100773362812132,0.0165755185515852,-0.6079650690776978,0.5582383720740969,-0.0475737642997763,0.0274190917373499,Centro-Oeste,centro_oeste,log_num_voters_low_ed
-6,fixest::.__event_time_plot__::-6:.__ever_treated__,-0.0166338717822157,0.0134291855485119,-1.238635933812,0.2468120511172772,-0.0470128000613281,0.0137450564968967,Centro-Oeste,centro_oeste,log_num_voters_low_ed
-4,fixest::.__event_time_plot__::-4:.__ever_treated__,-0.0097864463607784,0.0096496897431585,-1.0141721258672514,0.3369878327140433,-0.0316155611320448,0.0120426684104879,Centro-Oeste,centro_oeste,log_num_voters_low_ed
-2,(reference period),0.0,,,,,,Centro-Oeste,centro_oeste,log_num_voters_low_ed
0,fixest::.__event_time_plot__::0:.__ever_treated__,-0.2748053439658771,0.0119769050673026,-22.94460400426033,2.695417248657115e-09,-0.3018989855520298,-0.2477117023797244,Centro-Oeste,centro_oeste,log_num_voters_low_ed
2,fixest::.__event_time_plot__::2:.__ever_treated__,-0.1893280838657897,0.0183080722155728,-10.34123536528042,2.7044303971942737e-06,-0.2307438205652746,-0.1479123471663048,Centro-Oeste,centro_oeste,log_num_voters_low_ed
4,fixest::.__event_time_plot__::4:.__ever_treated__,-0.1248407474794439,0.0232838771701143,-5.361682101625307,0.0004553069927267526,-0.1775125369975316,-0.0721689579613562,Centro-Oeste,centro_oeste,log_num_voters_low_ed
6,fixest::.__event_time_plot__::6:.__ever_treated__,-0.1081352848299928,0.0297389077396096,-3.636155227246833,0.0054333015943296,-0.1754093679869457,-0.0408612016730399,Centro-Oeste,centro_oeste,log_num_voters_low_ed
8,fixest::.__event_time_plot__::8:.__ever_treated__,-0.0468909352073469,0.0488859681041634,-0.9591900708079344,0.3625205549017514,-0.1574786781145047,0.0636968076998109,Centro-Oeste,centro_oeste,log_num_voters_low_ed
-8,fixest::.__event_time_plot__::-8:.__ever_treated__,0.0286735553666561,0.0279348646625365,1.0264433249648155,0.3314783586049293,-0.0345194988214994,0.0918666095548118,Centro-Oeste,centro_oeste,log_num_voters_high_ed
-6,fixest::.__event_time_plot__::-6:.__ever_treated__,0.0020138159387203,0.0139262537284072,0.144605719383991,0.888208628972595,-0.0294895586839414,0.033517190561382,Centro-Oeste,centro_oeste,log_num_voters_high_ed
-4,fixest::.__event_time_plot__::-4:.__ever_treated__,-0.0044052304148946,0.005840975308653,-0.7541943223708705,0.4700044902794456,-0.0176184345470916,0.0088079737173024,Centro-Oeste,centro_oeste,log_num_voters_high_ed
-2,(reference period),0.0,,,,,,Centro-Oeste,centro_oeste,log_num_voters_high_ed
0,fixest::.__event_time_plot__::0:.__ever_treated__,0.107303047878582,0.0222532682866944,4.821900607864423,0.0009444780103255048,0.056962657628166,0.1576434381289979,Centro-Oeste,centro_oeste,log_num_voters_high_ed
2,fixest::.__event_time_plot__::2:.__ever_treated__,0.1525614999100216,0.0258045892927678,5.912184773767323,0.00022563970402537603,0.0941874634083209,0.2109355364117224,Centro-Oeste,centro_oeste,log_num_voters_high_ed
4,fixest::.__event_time_plot__::4:.__ever_treated__,0.1783281754406492,0.0288232256299898,6.186961089292638,0.00016137389594715967,0.113125509126819,0.2435308417544794,Centro-Oeste,centro_oeste,log_num_voters_high_ed
