municipality_id,state,pct_votes_pt_2018_runoff,pct_votes_pt_2014_runoff,total_valid_votes_2018_runoff,exit_rate_2018,log_gdp_pc,low_ed_share_2008,low_ed_year_used,low_ed_share_2008_exact,low_ed_voters_2008,total_voters_2008,exit_rate_2018_x_low_ed_share_2008
3129103,MG,0.4909677419354838,0.6403361344537815,3100,0.04314191764797112,9.971206822312778,0.78035538005923,2008.0,True,4743.0,6078.0,0.03366602754266651
3129202,MG,0.4311614730878187,0.4192413966340115,3530,0.041646985769173764,9.604997229719121,0.7675316319965687,2008.0,True,3579.0,4663.0,0.031965378955151814
3129301,MG,0.4078971200869408,0.5740584360749873,5521,0.03466154119248047,9.12125719822276,0.8107443365695793,2008.0,True,6263.0,7725.0,0.028101648218576726
3129400,MG,0.6987083208170621,0.711308696860239,3329,0.06772711750852893,9.489346931485514,0.7782249049854684,2008.0,True,3481.0,4473.0,0.05270692958801458
3129509,MG,0.4280097360044935,0.545535932286156,10682,0.027731112706700214,10.602660083206217,0.7040633489393676,2008.0,True,12181.0,17301.0,0.019524460082094405
3129608,MG,0.7853246044735407,0.8469586374695863,3666,0.03407994428076895,9.000578328137895,0.8110814419225634,2008.0,True,4860.0,5992.0,0.0276416103478867
3129657,MG,0.7748800959232613,0.7276736493936052,3336,0.06213923194217401,8.949268995218443,0.8414080242240727,2008.0,True,4446.0,5284.0,0.05228444837526602
3129707,MG,0.3450589005235602,0.3394855398924575,6112,0.034611222368185326,10.57536460154469,0.7002398081534772,2008.0,True,5548.0,7923.0,0.024236155711055432
3129806,MG,0.4053366589699581,0.6062323644294393,80987,0.03016280008859647,9.442352560738454,0.6976363314447592,2008.0,True,63044.0,90368.0,0.0210426651999101
3129905,MG,0.1943835015357613,0.3631067961165048,2279,0.15792666076194742,9.580923317677088,0.7730870712401056,2008.0,True,2344.0,3032.0,0.12209105963918362
3130002,MG,0.4348378893833439,0.3968850698174006,1573,0.07776115263877309,9.448897717256317,0.7178477690288714,2008.0,True,1641.0,2286.0,0.055820669938856794
