z_score_pca1_trust,treatment_dummy,low_ed,female,white,married,working,age,log_gdp_pc,log_total_pop,municipality_id,year,muni_exit_rate_active,exit_x_low_ed,muni_exit_rate_at_treatment_raw,muni_exit_rate_at_treatment_control
-0.2148208532218196,0,1.0,0.0,0.0,1.0,0.0,61.0,8.334319031388786,11.346352446394397,1302504,2006,0.0,0.0,0.2689359741322861,0.2689359741322861
1.6144431289204886,0,0.0,1.0,0.0,1.0,0.0,18.0,8.334319031388786,11.346352446394397,1302504,2006,0.0,0.0,0.2689359741322861,0.2689359741322861
-1.0049051860790676,0,1.0,0.0,0.0,0.0,1.0,49.0,8.334319031388786,11.346352446394397,1302504,2006,0.0,0.0,0.2689359741322861,0.2689359741322861
0.1539875125129644,0,1.0,0.0,0.0,0.0,1.0,26.0,8.334319031388786,11.346352446394397,1302504,2006,0.0,0.0,0.2689359741322861,0.2689359741322861
0.5423778909140916,0,1.0,0.0,0.0,0.0,0.0,69.0,8.334319031388786,11.346352446394397,1302504,2006,0.0,0.0,0.2689359741322861,0.2689359741322861
1.573212240833729,0,0.0,1.0,0.0,1.0,0.0,17.0,8.334319031388786,11.346352446394397,1302504,2006,0.0,0.0,0.2689359741322861,0.2689359741322861
1.4981949299837731,0,0.0,1.0,0.0,0.0,0.0,41.0,8.334319031388786,11.346352446394397,1302504,2006,0.0,0.0,0.2689359741322861,0.2689359741322861
1.681978981209407,0,1.0,1.0,0.0,0.0,0.0,29.0,8.334319031388786,11.346352446394397,1302504,2006,0.0,0.0,0.2689359741322861,0.2689359741322861
-0.6442638575768657,0,1.0,1.0,0.0,1.0,0.0,24.0,8.334319031388786,11.346352446394397,1302504,2006,0.0,0.0,0.2689359741322861,0.2689359741322861
1.203199274077111,0,0.0,0.0,0.0,0.0,1.0,25.0,8.39695566385061,8.608331042787574,3155900,2006,0.0,0.0,0.0304902129726818,0.0304902129726818
2.584892753139544,0,1.0,1.0,0.0,0.0,0.0,54.0,8.39695566385061,8.608331042787574,3155900,2006,0.0,0.0,0.0304902129726818,0.0304902129726818
-1.4598413228877316,0,1.0,0.0,0.0,0.0,0.0,51.0,8.39695566385061,8.608331042787574,3155900,2006,0.0,0.0,0.0304902129726818,0.0304902129726818
0.9099827335414316,0,1.0,0.0,0.0,1.0,0.0,17.0,8.39695566385061,8.608331042787574,3155900,2006,0.0,0.0,0.0304902129726818,0.0304902129726818
0.0345996447633306,0,0.0,0.0,0.0,0.0,1.0,17.0,8.39695566385061,8.608331042787574,3155900,2006,0.0,0.0,0.0304902129726818,0.0304902129726818
-1.0728548473613353,0,0.0,0.0,0.0,0.0,1.0,28.0,8.39695566385061,8.608331042787574,3155900,2006,0.0,0.0,0.0304902129726818,0.0304902129726818
0.8828296245476096,0,1.0,1.0,0.0,0.0,0.0,36.0,8.39695566385061,8.608331042787574,3155900,2006,0.0,0.0,0.0304902129726818,0.0304902129726818
0.9416011597974522,0,1.0,1.0,0.0,0.0,0.0,25.0,8.39695566385061,8.608331042787574,3155900,2006,0.0,0.0,0.0304902129726818,0.0304902129726818
1.4609028412535907,0,0.0,1.0,0.0,0.0,0.0,38.0,8.39695566385061,8.608331042787574,3155900,2006,0.0,0.0,0.0304902129726818,0.0304902129726818
0.5809270947114468,0,1.0,1.0,1.0,1.0,0.0,21.0,8.39695566385061,8.608331042787574,3155900,2006,0.0,0.0,0.0304902129726818,0.0304902129726818
-1.085726618755653,0,0.0,1.0,0.0,0.0,0.0,27.0,9.126668197473911,14.17204316177313,1501402,2006,0.0,0.0,0.0750312234132432,0.0750312234132432
-1.438666652564908,0,0.0,1.0,0.0,0.0,1.0,28.0,9.126668197473911,14.17204316177313,1501402,2006,0.0,0.0,0.0750312234132432,0.0750312234132432
-0.3177412634122455,0,0.0,1.0,0.0,0.0,0.0,26.0,9.126668197473911,14.17204316177313,1501402,2006,0.0,0.0,0.0750312234132432,0.0750312234132432
0.9068925978809054,0,1.0,1.0,0.0,0.0,0.0,71.0,9.126668197473911,14.17204316177313,1501402,2006,0.0,0.0,0.0750312234132432,0.0750312234132432
-0.7501638580098094,0,0.0,0.0,0.0,1.0,0.0,21.0,9.126668197473911,14.17204316177313,1501402,2006,0.0,0.0,0.0750312234132432,0.0750312234132432
