id_municipio,pc1_score,pt_share_mean_runoff,pt_share_mean_first_round,left_coalition_share_mean_first_round
1200450,0.3449520732996711,0.3489172667798543,0.2765327585740625,0.4834563841593657
1200500,0.3785402724916773,0.3812134135085481,0.32813741357045817,0.5114094215494059
1200609,0.5275481144216334,0.5315927878509235,0.491824515593496,0.5928808721504343
1200708,0.442620367747922,0.44827247697019623,0.4074331250054774,0.5589133731162665
1200807,0.3143201909206053,0.3216967107759522,0.28924347885229346,0.4111420983385643
1300029,0.8658060031448392,0.8614036814267466,0.853114243487588,0.9036363598780147
1300060,0.8357582502846724,0.8334193782445105,0.8029069975897586,0.8773650713212359
1300086,0.8015392853246825,0.7998383694071851,0.7331747819507348,0.8371344491492687
1300102,0.7749116369373966,0.7707917570474607,0.7275872553177399,0.8152152259767552
1300144,0.6953609664966587,0.6934598962728731,0.6666664527711733,0.6977318152299081
1300201,0.6698709565595178,0.6713755985167479,0.5968349486740513,0.7451793250680651
1300300,0.869579904452054,0.8668216436490769,0.8242282911288973,0.9070736962970926
1300409,0.696917520827757,0.69136959832018,0.6516836427393574,0.7927819601805816
1300508,0.9014205265888646,0.8994722184004668,0.8636856864405921,0.9240129316923095
1300607,0.8970113075313346,0.8956447777973023,0.8604311670767831,0.9131905647413293
1300631,0.8004690836435182,0.8014704037810535,0.7853921454237854,0.8281061021652413
1300680,0.8860675078213328,0.8841827748053602,0.8409190338399487,0.918324062327376
1300706,0.6050511372898931,0.6096509858497695,0.5795241666826243,0.6377251022303229
1300805,0.8893325463407351,0.8864643787845212,0.8390101150918979,0.9150015326545149
1300839,0.9075961039955415,0.9054407751969132,0.852317613713569,0.9191949330216281
1300904,0.7588372929347392,0.7626508494000995,0.7320817459958601,0.766282702246086
1301001,0.8138685204156351,0.8137520939576502,0.8011130769345182,0.8498318843326151
1301100,0.8832125822110173,0.8794682885039992,0.8379895353183623,0.8932567926662597
1301159,0.8796455491204356,0.8757054414572024,0.8253426772611961,0.8983874147183584
1301209,0.8150955654517097,0.8099204243189807,0.7432553468070529,0.8751979825515958
1301308,0.8257679632247963,0.8247203108205495,0.7519260398485016,0.8708412408016386
1301407,0.8614808466219068,0.8574921747133609,0.8378039055377305,0.8878199874950367
1301506,0.7467327971524823,0.7486864215279097,0.710646408274271,0.744871974439303
1301605,0.8229425434737756,0.8211774922435692,0.7834144064379455,0.8229283535580564
1301654,0.6516163560476221,0.6544205097487114,0.5917641969768922,0.6466034418635126
1301704,0.7769587397221217,0.7750590193004716,0.7322777920135802,0.7920053430499303
1301803,0.7076402298891483,0.7126277197168801,0.6835619471994329,0.7144379970064882
1301852,0.8792282315797197,0.8754271495327154,0.802640042992491,0.9133751899215184
1301902,0.8164198606953675,0.8140881621566377,0.750633887208558,0.8669886786309595
