outcome,event_time,estimate,std.error,conf.low,conf.high,statistic,p.value
log_num_voters_age_60_plus,-6,-0.0015904870936788,0.0014240892378133,-0.0043817019997931,0.0012007278124353,-1.1168451045392156,0.2640605596630619
log_num_voters_age_60_plus,-4,0.0015033459426791,0.0032002030825176,-0.0047690520990554,0.0077757439844137,0.4697657942059352,0.6385223552553143
log_num_voters_age_60_plus,-2,-0.0028015699991362,0.0028837626138109,-0.0084537447222056,0.0028506047239331,-0.9714981343190108,0.3313002817315995
log_num_voters_age_60_plus,0,-0.2154995728594452,0.0032973418929146,-0.2219623629695579,-0.2090367827493324,-65.35554390720296,0.0
log_num_voters_age_60_plus,2,-0.1768499469014122,0.0035885933879738,-0.1838835899418409,-0.1698163038609835,-49.28113268393,0.0
log_num_voters_age_60_plus,4,-0.1516758431383881,0.010328883182819,-0.1719204541767134,-0.1314312321000628,-14.684631479876211,8.087268739442138e-49
log_num_voters_age_60_plus,6,-0.1636324144964616,0.0088770396098682,-0.1810314121318033,-0.1462334168611199,-18.433218920704004,7.112257532394511e-76
log_num_voters_age_60_plus,8,-0.097388100503298,0.026793750818096,-0.1499038521067663,-0.0448723488998297,-3.6347318882104287,0.000278269871646184
log_num_voters_high_ed_age_16_30,-8,0.0182587774936392,0.0028881038391221,0.0125980939689598,0.0239194610183187,6.322064063731543,2.58092328985569e-10
log_num_voters_high_ed_age_16_30,-6,0.0192110903496186,0.002783754296519,0.0137549319284411,0.024667248770796,6.901144391098322,5.158526585085355e-12
log_num_voters_high_ed_age_16_30,-4,0.0178789020096546,0.0039606501210883,0.0101160277723215,0.0256417762469877,4.514133150630812,6.357626646102586e-06
log_num_voters_high_ed_age_16_30,-2,0.0131679232656599,0.0036374186601277,0.0060385826918095,0.0202972638395102,3.620128584592869,0.00029445664866473994
log_num_voters_high_ed_age_16_30,0,0.0730987904149852,0.0041667142872838,0.0649320304119088,0.0812655504180615,17.543509195739937,6.667969742411155e-69
log_num_voters_high_ed_age_16_30,2,0.1047053748191663,0.0062635455477281,0.0924288255456191,0.1169819240927134,16.71663022505588,9.917048733868246e-63
log_num_voters_high_ed_age_16_30,4,0.1167118456941541,0.0146185359251755,0.0880595152808101,0.1453641761074981,7.983825896898287,1.4186608112518397e-15
log_num_voters_high_ed_age_16_30,6,0.2672989009558408,0.0157007505308311,0.2365254299154118,0.2980723719962699,17.02459385180048,5.396560654660667e-65
log_num_voters_high_ed_age_16_30,8,0.1873023039189552,0.0399896376016838,0.1089226142196549,0.2656819936182555,4.683770975485624,2.816446915347537e-06
log_num_voters_high_ed_age_31_45,-8,-0.0164706861214407,0.0025341737061581,-0.0214376665855107,-0.0115037056573706,-6.499430596022678,8.062458617816562e-11
log_num_voters_high_ed_age_31_45,-6,-0.0145097875179342,0.0025253299063656,-0.0194594341344109,-0.0095601409014575,-5.745699792078301,9.154159607495358e-09
log_num_voters_high_ed_age_31_45,-4,-0.0084413622195116,0.0040621321317971,-0.016403141197834,-0.0004795832411892374,-2.078061950135793,0.0377036536377625
log_num_voters_high_ed_age_31_45,-2,-0.0017688369405955,0.0038445601568311,-0.0093041748479845,0.0057665009667934,-0.4600882463635274,0.6454528802602039
log_num_voters_high_ed_age_31_45,0,0.2668092021899183,0.0058285364917395,0.2553852706661088,0.2782331337137278,45.77636299747843,0.0
log_num_voters_high_ed_age_31_45,2,0.2749193581881113,0.007266213648861,0.2606775794363436,0.2891611369398791,37.835297924552805,0.0
log_num_voters_high_ed_age_31_45,4,0.2295662243384173,0.0146865423538447,0.2007806013248816,0.258351847351953,15.6310599736445,4.472998929389782e-55
log_num_voters_high_ed_age_31_45,6,0.2682670019330658,0.0157897713777139,0.2373190500327464,0.2992149538333851,16.989923129077358,9.751689037426907e-65
log_num_voters_high_ed_age_31_45,8,0.1057972561001853,0.0308305866451946,0.0453693062756039,0.1662252059247667,3.4315680501874386,0.0006001025499677701
log_num_voters_high_ed_age_46_60,-8,-0.0013572698566801,0.0026781920406393,-0.0066065262563332,0.003891986542973,-0.5067858600446368,0.6123050787350582
log_num_voters_high_ed_age_46_60,-6,0.0035236794047318,0.0027669287080587,-0.0018995008630632,0.0089468596725268,1.273498444130146,0.202841224314559
log_num_voters_high_ed_age_46_60,-4,0.0082667764035485,0.0040907772165263,0.0002488530591569227,0.0162846997479401,2.020832708794696,0.0432970856357576
log_num_voters_high_ed_age_46_60,-2,0.0066101983523621,0.0038489816458316,-0.0009338056734679352,0.0141542023781922,1.7173888993523223,0.085908138542383
log_num_voters_high_ed_age_46_60,0,0.2258462481255777,0.0046515785205699,0.2167291542252606,0.2349633420258948,48.55260362194345,0.0
log_num_voters_high_ed_age_46_60,2,0.2308328853001563,0.0062521156683643,0.2185787385901621,0.2430870320101505,36.92076371334061,2.1461239863156028e-298
