slug,label,category,family,frequency,pretrend_label,post_mean_ref0,post_abs_mean_ref0,max_abs_pretrend_t,n_pre_p05,n_obs,n_munis,n_treated,n_never,sample_year_min,sample_year_max,post_min_ref0,post_max_ref0,post_sign_share,n_post_raw_p05,n_post_ref0_ci_excludes0_naive,post_n,figure_path,output_dir
saeb_municipal_grade5_portuguese_media,Municipal Grade5 Portuguese Media,education,achievement,biennial,pass,0.4792170868961811,0.4792170868961811,1.705917505381466,0,18635,4037,2721,1217,2010,2018,-0.8219720936544461,2.8301897309320188,0.3333333333333333,1,1,3,resources/figures/downstream_bjs_ref0_nonhybrid/education/biennial/saeb_municipal_grade5_portuguese_media_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/biennial/achievement/saeb_municipal_grade5_portuguese_media
sinasc_lowedu_prenatal_adequate_share_known_pp,Adequate prenatal visits share: Low education proxy,birth_health,sinasc_lowedu,annual,pass,0.3558520945399394,0.3558520945399394,1.6864610550548575,0,27970,4037,2792,1244,2014,2020,-0.0762846844572553,1.0825432445288008,0.5,1,1,4,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_lowedu_prenatal_adequate_share_known_pp_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_lowedu/sinasc_lowedu_prenatal_adequate_share_known_pp
ieps_sus_icu_beds_per_100k,IEPS SUS ICU beds,birth_health,ieps,annual,pass,0.2906427577103494,0.2906427577103494,1.4560636795323454,0,44395,4037,2792,1244,2010,2020,-0.066105241915663,0.6802525129903084,0.875,2,0,8,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps_sus_icu_beds_per_100k_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/ieps/ieps_sus_icu_beds_per_100k
imun_bcg_pp,BCG coverage,birth_health,immunization,annual,pass,0.2775169544090362,0.2775169544090362,1.7265605878082275,0,84548,4037,2792,1244,2000,2020,-5.404013594658011,4.708821732476975,0.625,3,3,8,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/imun_bcg_pp_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/immunization/imun_bcg_pp
sinasc_highedu_low_apgar1_share_known_pp,Low Apgar 1 share: High education proxy,birth_health,sinasc_highedu,annual,pass,0.2667995726070996,0.2667995726070996,0.9286189949070792,0,84296,4037,2792,1244,2000,2020,0.0035434732526117,0.5810603028262459,1.0,4,1,8,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_highedu_low_apgar1_share_known_pp_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_highedu/sinasc_highedu_low_apgar1_share_known_pp
sinasc_lowedu_low_birthweight_share_total_pp,Low-birthweight share: Low education proxy,birth_health,sinasc_lowedu,annual,pass,-0.217057134904742,0.217057134904742,1.9399443143989643,0,84312,4037,2792,1244,2000,2020,-0.5652547106206961,0.09205842649973,0.75,1,0,8,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_lowedu_low_birthweight_share_total_pp_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_lowedu/sinasc_lowedu_low_birthweight_share_total_pp
inep_ind_publica_ied_ef_nivel_5,Publica Ied Ef Nivel 5,education,teacher_profile,annual,pass,0.1944313549457905,0.1944313549457905,1.6152729601619618,0,32288,4037,2792,1244,2013,2020,-0.2306579348426835,0.9678466267765438,0.6666666666666666,3,1,6,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_ind_publica_ied_ef_nivel_5_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/teacher_profile/inep_ind_publica_ied_ef_nivel_5
inep_transition_total_taxa_repetencia_em,Total Taxa Repetencia Em,education,dropout_flow,annual,pass,-0.1471713326512972,0.1471713326512972,1.949150371885768,0,52267,4037,2786,1244,2008,2020,-1.2369574107318675,0.6955176524176411,0.5,5,5,8,resources/figures/downstream_bjs_ref0_nonhybrid/education/annual/inep_transition_total_taxa_repetencia_em_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/education/annual/dropout_flow/inep_transition_total_taxa_repetencia_em
sinasc_lowedu_very_low_birthweight_share_total_pp,Very-low-birthweight share: Low education proxy,birth_health,sinasc_lowedu,annual,pass,-0.1121675827964518,0.1121675827964518,1.3078565666858428,0,84312,4037,2792,1244,2000,2020,-0.2963943355220413,0.0701658844448775,0.875,0,1,8,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_lowedu_very_low_birthweight_share_total_pp_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_lowedu/sinasc_lowedu_very_low_birthweight_share_total_pp
sinasc_all_low_apgar1_share_known_pp,Low Apgar 1 share: All mothers,birth_health,sinasc_all,annual,pass,0.1087250054556876,0.1087250054556876,1.565827609288007,0,84509,4037,2792,1244,2000,2020,-0.3344814561333054,0.4120320387421129,0.75,2,0,8,resources/figures/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_all_low_apgar1_share_known_pp_bjs_ref0_nonhybrid.png,resources/did/downstream_bjs_ref0_nonhybrid/birth_health/annual/sinasc_all/sinasc_all_low_apgar1_share_known_pp
